sale_id,sale_date,year,month,quarter,season,customer_id,district,customer_type,equipment,quantity,unit_price,gross_amount,discount_pct,discount_amount,net_revenue,payment_mode,delivery_status
S00033,2023-08-08,2023,8,Q3,Kharif Peak,C0310,Araria,Farmer,Cultivator,1,66868,66868,10,6686.8,60181.2,Cash,Delivered
S00034,2023-04-14,2023,4,Q2,Off-Season,C0290,Gopalganj,Farmer,Zero Till Seed Drill,1,190748,190748,5,9537.4,181210.6,Cash,Delivered
S00035,2024-09-24,2024,9,Q3,Kharif Peak,C0280,Vaishali,Farmer,Rotavator,1,109688,109688,0,0.0,109688.0,Bank Transfer,Delivered
S00036,2023-06-19,2023,6,Q2,Kharif Prep,C0055,Muzaffarpur,Dealer,Threshing Machine,1,57863,57863,2,1157.26,56705.74,Cash,Delivered
S00037,2023-10-19,2023,10,Q4,Rabi Prep,C0138,Muzaffarpur,Farmer,Tawa (Plough),1,43683,43683,0,0.0,43683.0,Cash,Delivered
S00038,2024-04-25,2024,4,Q2,Off-Season,C0064,Begusarai,Dealer,Tawa (Plough),1,24357,24357,8,1948.56,22408.44,EMI/Finance,Delivered
S00039,2023-10-16,2023,10,Q4,Rabi Prep,C0125,Chapra (Saran),Dealer,Tawa (Plough),1,34479,34479,8,2758.32,31720.68,Bank Transfer,Delivered
S00040,2023-05-22,2023,5,Q2,Off-Season,C0184,Siwan,Farmer,Tawa (Plough),1,19709,19709,5,985.45,18723.55,UPI,Delivered
S00041,2024-06-12,2024,6,Q2,Kharif Prep,C0093,Siwan,Farmer,Tawa (Plough),1,27340,27340,0,0.0,27340.0,UPI,Delivered
S00042,2024-03-23,2024,3,Q1,Off-Season,C0273,Siwan,Farmer,Rotavator,1,144670,144670,0,0.0,144670.0,Cash,Delivered
S00043,2023-02-24,2023,2,Q1,Off-Season,C0101,Madhubani,Cooperative,Cultivator,1,59507,59507,10,5950.7,53556.3,UPI,Delivered
S00044,2023-04-12,2023,4,Q2,Off-Season,C0035,Chapra (Saran),Farmer,Tawa (Plough),1,39297,39297,0,0.0,39297.0,Cash,Delivered
S00045,2024-04-28,2024,4,Q2,Off-Season,C0147,Vaishali,Farmer,Threshing Machine,1,64095,64095,0,0.0,64095.0,UPI,Delivered
S00046,2023-01-20,2023,1,Q1,Rabi Peak,C0005,Gopalganj,Farmer,Cultivator,1,44798,44798,2,895.96,43902.04,UPI,Delivered
S00047,2023-10-23,2023,10,Q4,Rabi Prep,C0345,Samastipur,Farmer,Cultivator,1,42985,42985,0,0.0,42985.0,Bank Transfer,Delivered
S00048,2023-04-24,2023,4,Q2,Off-Season,C0011,West Champaran,Dealer,Tawa (Plough),1,34378,34378,0,0.0,34378.0,UPI,Delivered
S00049,2023-05-28,2023,5,Q2,Off-Season,C0282,Darbhanga,Farmer,Cultivator,1,35102,35102,0,0.0,35102.0,UPI,Delivered
S00051,2024-07-21,2024,7,Q3,Kharif Prep,C0140,Darbhanga,Cooperative,Rotavator,1,142234,142234,2,2844.68,139389.32,EMI/Finance,Delivered
S00052,2023-01-17,2023,1,Q1,Rabi Peak,C0332,Bhagalpur,Farmer,Cultivator,1,39427,39427,2,788.54,38638.46,UPI,Delivered
S00053,2023-12-07,2023,12,Q4,Rabi Peak,C0092,Darbhanga,Dealer,Rotavator,1,108088,108088,5,5404.4,102683.6,Cash,Delivered
S00054,2024-04-20,2024,4,Q2,Off-Season,C0032,Siwan,Farmer,Tawa (Plough),1,33680,33680,5,1684.0,31996.0,Cash,Delivered
S00055,2024-04-13,2024,4,Q2,Off-Season,C0223,West Champaran,Farmer,Rotavator,1,98211,98211,0,0.0,98211.0,Cash,Delivered
S00056,2024-06-11,2024,6,Q2,Kharif Prep,C0179,Muzaffarpur,Farmer,Cultivator,1,70588,70588,0,0.0,70588.0,UPI,Delivered
S00057,2023-02-18,2023,2,Q1,Off-Season,C0310,Araria,Farmer,Tawa (Plough),1,28876,28876,5,1443.8,27432.2,UPI,Delivered
S00058,2024-03-26,2024,3,Q1,Off-Season,C0079,Gopalganj,Farmer,Tawa (Plough),1,30669,30669,0,0.0,30669.0,Bank Transfer,Delivered
S00059,2024-06-15,2024,6,Q2,Kharif Prep,C0243,Gopalganj,Farmer,Cultivator,1,40414,40414,0,0.0,40414.0,UPI,Delivered
S00060,2024-07-12,2024,7,Q3,Kharif Prep,C0195,Chapra (Saran),Dealer,Cultivator,1,41723,41723,2,834.46,40888.54,Cash,Delivered
S00061,2024-03-12,2024,3,Q1,Off-Season,C0024,Madhubani,Farmer,Rotavator,1,114091,114091,0,0.0,114091.0,EMI/Finance,Delivered
S00062,2024-03-21,2024,3,Q1,Off-Season,C0349,Chapra (Saran),Dealer,Cultivator,1,38759,38759,2,775.18,37983.82,UPI,Delivered
S00063,2024-11-26,2024,11,Q4,Rabi Prep,C0069,Samastipur,Farmer,Rotavator,1,87040,87040,2,1740.8,85299.2,Bank Transfer,Delivered
S00064,2023-03-10,2023,3,Q1,Off-Season,C0063,Darbhanga,Farmer,Cultivator,1,59007,59007,8,4720.56,54286.44,Cash,Delivered
S00065,2024-04-05,2024,4,Q2,Off-Season,C0020,Gopalganj,Farmer,Tawa (Plough),1,30190,30190,0,0.0,30190.0,Cash,Delivered
S00066,2023-11-18,2023,11,Q4,Rabi Prep,C0078,Samastipur,Farmer,Threshing Machine,2,71358,142716,0,0.0,142716.0,Cash,Delivered
S00067,2024-07-29,2024,7,Q3,Kharif Prep,C0025,Vaishali,Farmer,Rotavator,1,135788,135788,0,0.0,135788.0,EMI/Finance,Delivered
S00068,2024-05-17,2024,5,Q2,Off-Season,C0012,Purnia,Farmer,Rotavator,1,93895,93895,0,0.0,93895.0,EMI/Finance,Delivered
S00069,2023-03-31,2023,3,Q1,Off-Season,C0031,Gopalganj,Farmer,Tawa (Plough),1,28472,28472,2,569.44,27902.56,UPI,Delivered
S00070,2023-11-04,2023,11,Q4,Rabi Prep,C0188,West Champaran,Farmer,Tawa (Plough),1,41324,41324,2,826.48,40497.52,Cash,Delivered
S00071,2023-08-18,2023,8,Q3,Kharif Peak,C0230,Bhagalpur,Cooperative,Rotavator,1,98171,98171,0,0.0,98171.0,UPI,Delivered
S00072,2024-08-09,2024,8,Q3,Kharif Peak,C0209,Gopalganj,Farmer,Cultivator,1,71152,71152,5,3557.6,67594.4,Cash,Delivered
S00073,2024-05-05,2024,5,Q2,Off-Season,C0043,Gopalganj,Farmer,Zero Till Seed Drill,1,173665,173665,0,0.0,173665.0,EMI/Finance,Delivered
S00074,2024-04-05,2024,4,Q2,Off-Season,C0346,Gopalganj,Farmer,Harvester,1,721245,721245,5,36062.25,685182.75,Bank Transfer,Delivered
S00075,2023-07-06,2023,7,Q3,Kharif Prep,C0124,Madhubani,Farmer,Tawa (Plough),1,22228,22228,8,1778.24,20449.76,Cash,Delivered
S00076,2023-06-06,2023,6,Q2,Kharif Prep,C0095,Gopalganj,Farmer,Cultivator,1,45614,45614,2,912.28,44701.72,Cash,Pending
S00077,2023-10-18,2023,10,Q4,Rabi Prep,C0199,Gopalganj,Farmer,Tawa (Plough),1,26211,26211,8,2096.88,24114.12,Cash,Delivered
S00078,2024-09-21,2024,9,Q3,Kharif Peak,C0332,Bhagalpur,Farmer,Zero Till Seed Drill,1,185873,185873,2,3717.46,182155.54,UPI,Delivered
S00079,2024-10-01,2024,10,Q4,Rabi Prep,C0060,Gopalganj,Farmer,Threshing Machine,1,94658,94658,8,7572.64,87085.36,Cash,Delivered
S00080,2023-03-25,2023,3,Q1,Off-Season,C0146,Madhubani,Farmer,Rotavator,1,127038,127038,0,0.0,127038.0,Cash,Delivered
S00081,2024-09-24,2024,9,Q3,Kharif Peak,C0171,West Champaran,Cooperative,Threshing Machine,2,87639,175278,0,0.0,175278.0,UPI,Delivered
S00082,2023-09-08,2023,9,Q3,Kharif Peak,C0115,Chapra (Saran),Cooperative,Tawa (Plough),1,40445,40445,0,0.0,40445.0,Bank Transfer,Delivered
S00083,2024-03-01,2024,3,Q1,Off-Season,C0315,Samastipur,Farmer,Zero Till Seed Drill,1,146741,146741,0,0.0,146741.0,EMI/Finance,Delivered
S00084,2023-12-20,2023,12,Q4,Rabi Peak,C0296,Patna,Cooperative,Tawa (Plough),1,22284,22284,0,0.0,22284.0,Cash,Delivered
S00085,2023-05-06,2023,5,Q2,Off-Season,C0307,Begusarai,Farmer,Cultivator,1,51247,51247,0,0.0,51247.0,EMI/Finance,Delivered
S00086,2024-03-04,2024,3,Q1,Off-Season,C0307,Begusarai,Farmer,Cultivator,1,45466,45466,8,3637.28,41828.72,Bank Transfer,Delivered
S00087,2023-06-13,2023,6,Q2,Kharif Prep,C0138,Muzaffarpur,Farmer,Zero Till Seed Drill,1,187466,187466,5,9373.3,178092.7,UPI,Delivered
S00088,2024-02-07,2024,2,Q1,Off-Season,C0004,Gopalganj,Farmer,Zero Till Seed Drill,1,151552,151552,0,0.0,151552.0,Cash,Delivered
S00089,2024-10-31,2024,10,Q4,Rabi Prep,C0144,Sitamarhi,Farmer,Threshing Machine,1,73726,73726,5,3686.3,70039.7,UPI,Delivered
S00090,2024-01-10,2024,1,Q1,Rabi Peak,C0140,Darbhanga,Cooperative,Tawa (Plough),1,29991,29991,0,0.0,29991.0,UPI,Delivered
S00091,2023-10-23,2023,10,Q4,Rabi Prep,C0081,Darbhanga,Farmer,Rotavator,1,118046,118046,0,0.0,118046.0,Bank Transfer,Delivered
S00092,2024-09-17,2024,9,Q3,Kharif Peak,C0256,Siwan,Dealer,Rotavator,1,91336,91336,5,4566.8,86769.2,Cash,Delivered
S00093,2023-05-28,2023,5,Q2,Off-Season,C0296,Patna,Cooperative,Rotavator,1,118365,118365,0,0.0,118365.0,Cash,Delivered
S00094,2024-04-30,2024,4,Q2,Off-Season,C0010,Gopalganj,Dealer,Zero Till Seed Drill,1,139521,139521,0,0.0,139521.0,Cash,Delivered
S00095,2023-06-16,2023,6,Q2,Kharif Prep,C0017,Chapra (Saran),Farmer,Cultivator,1,54610,54610,0,0.0,54610.0,UPI,Delivered
S00096,2024-07-30,2024,7,Q3,Kharif Prep,C0325,Siwan,Cooperative,Cultivator,1,36090,36090,2,721.8,35368.2,EMI/Finance,Delivered
S00097,2024-12-05,2024,12,Q4,Rabi Peak,C0163,Chapra (Saran),Dealer,Threshing Machine,1,94119,94119,8,7529.52,86589.48,Bank Transfer,Delivered
S00098,2024-08-14,2024,8,Q3,Kharif Peak,C0296,Patna,Cooperative,Cultivator,1,38365,38365,0,0.0,38365.0,UPI,Delivered
S00099,2024-01-25,2024,1,Q1,Rabi Peak,C0146,Madhubani,Farmer,Rotavator,1,129612,129612,2,2592.24,127019.76,Bank Transfer,Delivered
S00100,2024-03-27,2024,3,Q1,Off-Season,C0204,Bhagalpur,Farmer,Cultivator,1,44924,44924,0,0.0,44924.0,UPI,Delivered
S00101,2024-04-27,2024,4,Q2,Off-Season,C0228,Siwan,Farmer,Tawa (Plough),1,42111,42111,2,842.22,41268.78,UPI,Delivered
S00102,2024-11-09,2024,11,Q4,Rabi Prep,C0100,East Champaran,Dealer,Harvester,1,647564,647564,0,0.0,647564.0,EMI/Finance,Delivered
S00103,2023-12-29,2023,12,Q4,Rabi Peak,C0121,Vaishali,Farmer,Threshing Machine,1,72325,72325,0,0.0,72325.0,Cash,Delivered
S00104,2023-08-19,2023,8,Q3,Kharif Peak,C0307,Begusarai,Farmer,Tawa (Plough),1,27752,27752,2,555.04,27196.96,Bank Transfer,Delivered
S00105,2024-05-06,2024,5,Q2,Off-Season,C0250,Muzaffarpur,Farmer,Cultivator,1,52921,52921,2,1058.42,51862.58,UPI,Delivered
S00106,2024-02-09,2024,2,Q1,Off-Season,C0323,Patna,Dealer,Tawa (Plough),1,43331,43331,0,0.0,43331.0,Cash,Delivered
S00107,2023-12-21,2023,12,Q4,Rabi Peak,C0058,Samastipur,Cooperative,Tawa (Plough),1,39494,39494,0,0.0,39494.0,Cash,Delivered
S00108,2024-07-29,2024,7,Q3,Kharif Prep,C0216,Samastipur,Farmer,Threshing Machine,1,63996,63996,2,1279.92,62716.08,Cash,Delivered
S00109,2024-06-27,2024,6,Q2,Kharif Prep,C0197,Gopalganj,Farmer,Cultivator,1,50259,50259,0,0.0,50259.0,Bank Transfer,Delivered
S00110,2023-05-21,2023,5,Q2,Off-Season,C0236,Chapra (Saran),Farmer,Rotavator,2,121067,242134,0,0.0,242134.0,Bank Transfer,Delivered
S00111,2024-05-02,2024,5,Q2,Off-Season,C0110,Gopalganj,Dealer,Harvester,1,554572,554572,0,0.0,554572.0,Cash,Delivered
S00112,2023-04-02,2023,4,Q2,Off-Season,C0195,Chapra (Saran),Dealer,Threshing Machine,1,70218,70218,2,1404.36,68813.64,EMI/Finance,Delivered
S00113,2023-06-29,2023,6,Q2,Kharif Prep,C0305,Bhagalpur,Farmer,Harvester,2,542163,1084326,0,0.0,1084326.0,Bank Transfer,Delivered
S00114,2023-07-10,2023,7,Q3,Kharif Prep,C0254,Siwan,Farmer,Tawa (Plough),1,27485,27485,0,0.0,27485.0,UPI,Delivered
S00115,2023-12-10,2023,12,Q4,Rabi Peak,C0022,Gopalganj,Dealer,Cultivator,1,70605,70605,5,3530.25,67074.75,Cash,Delivered
S00116,2023-10-07,2023,10,Q4,Rabi Prep,C0228,Siwan,Farmer,Rotavator,1,92382,92382,2,1847.64,90534.36,UPI,Delivered
S00117,2023-01-15,2023,1,Q1,Rabi Peak,C0004,Gopalganj,Farmer,Threshing Machine,1,74334,74334,5,3716.7,70617.3,Cash,Delivered
S00119,2024-05-03,2024,5,Q2,Off-Season,C0252,East Champaran,Dealer,Cultivator,1,51256,51256,0,0.0,51256.0,UPI,Delivered
S00120,2023-12-04,2023,12,Q4,Rabi Peak,C0077,Patna,Farmer,Cultivator,1,72544,72544,2,1450.88,71093.12,Bank Transfer,Delivered
S00121,2023-05-02,2023,5,Q2,Off-Season,C0334,Gopalganj,Farmer,Harvester,1,533737,533737,0,0.0,533737.0,EMI/Finance,Delivered
S00122,2023-11-15,2023,11,Q4,Rabi Prep,C0262,Muzaffarpur,Farmer,Threshing Machine,1,74335,74335,0,0.0,74335.0,EMI/Finance,Delivered
S00123,2024-04-10,2024,4,Q2,Off-Season,C0133,Sitamarhi,Farmer,Threshing Machine,1,94697,94697,2,1893.94,92803.06,EMI/Finance,Delivered
S00124,2024-11-11,2024,11,Q4,Rabi Prep,C0027,Madhubani,Farmer,Tawa (Plough),1,42964,42964,5,2148.2,40815.8,EMI/Finance,Delivered
S00125,2024-04-02,2024,4,Q2,Off-Season,C0250,Muzaffarpur,Farmer,Zero Till Seed Drill,1,167419,167419,2,3348.38,164070.62,Cash,Delivered
S00126,2024-06-01,2024,6,Q2,Kharif Prep,C0105,Siwan,Farmer,Rotavator,1,120170,120170,0,0.0,120170.0,UPI,Delivered
S00127,2023-07-30,2023,7,Q3,Kharif Prep,C0101,Madhubani,Cooperative,Threshing Machine,1,87035,87035,0,0.0,87035.0,Bank Transfer,Delivered
S00128,2024-06-09,2024,6,Q2,Kharif Prep,C0271,Gopalganj,Cooperative,Harvester,1,745651,745651,0,0.0,745651.0,Bank Transfer,Delivered
S00129,2024-02-10,2024,2,Q1,Off-Season,C0265,Gopalganj,Dealer,Cultivator,1,35197,35197,2,703.94,34493.06,Cash,Delivered
S00130,2023-03-07,2023,3,Q1,Off-Season,C0127,Siwan,Farmer,Zero Till Seed Drill,2,127897,255794,0,0.0,255794.0,EMI/Finance,Delivered
S00131,2024-02-23,2024,2,Q1,Off-Season,C0124,Madhubani,Farmer,Rotavator,1,93875,93875,10,9387.5,84487.5,UPI,Delivered
S00132,2024-01-27,2024,1,Q1,Rabi Peak,C0017,Chapra (Saran),Farmer,Harvester,1,647916,647916,2,12958.32,634957.68,Bank Transfer,Delivered
S00133,2024-10-31,2024,10,Q4,Rabi Prep,C0279,Siwan,Farmer,Tawa (Plough),1,21887,21887,0,0.0,21887.0,UPI,Delivered
S00134,2023-08-17,2023,8,Q3,Kharif Peak,C0226,Chapra (Saran),Farmer,Tawa (Plough),1,42778,42778,0,0.0,42778.0,Bank Transfer,Delivered
S00135,2024-06-28,2024,6,Q2,Kharif Prep,C0135,Chapra (Saran),Farmer,Cultivator,1,50051,50051,0,0.0,50051.0,Cash,Delivered
S00136,2023-04-26,2023,4,Q2,Off-Season,C0063,Darbhanga,Farmer,Rotavator,1,128266,128266,5,6413.3,121852.7,EMI/Finance,Delivered
S00137,2023-07-31,2023,7,Q3,Kharif Prep,C0025,Vaishali,Farmer,Rotavator,1,123924,123924,2,2478.48,121445.52,Bank Transfer,Delivered
S00138,2023-02-15,2023,2,Q1,Off-Season,C0165,Darbhanga,Dealer,Harvester,1,572861,572861,5,28643.05,544217.95,Bank Transfer,Delivered
S00139,2023-10-24,2023,10,Q4,Rabi Prep,C0255,Sitamarhi,Farmer,Cultivator,1,72755,72755,2,1455.1,71299.9,Bank Transfer,Delivered
S00140,2023-11-06,2023,11,Q4,Rabi Prep,C0173,Chapra (Saran),Farmer,Tawa (Plough),1,39633,39633,0,0.0,39633.0,Cash,Delivered
S00141,2024-08-28,2024,8,Q3,Kharif Peak,C0083,Vaishali,Dealer,Tawa (Plough),1,23738,23738,0,0.0,23738.0,UPI,Pending
S00142,2024-10-20,2024,10,Q4,Rabi Prep,C0216,Samastipur,Farmer,Threshing Machine,1,89371,89371,0,0.0,89371.0,Cash,Delivered
S00143,2024-07-04,2024,7,Q3,Kharif Prep,C0010,Gopalganj,Dealer,Harvester,1,568145,568145,2,11362.9,556782.1,Bank Transfer,Delivered
S00144,2024-07-29,2024,7,Q3,Kharif Prep,C0114,Darbhanga,Farmer,Harvester,1,668370,668370,0,0.0,668370.0,Cash,Delivered
S00145,2024-10-24,2024,10,Q4,Rabi Prep,C0201,Sitamarhi,Farmer,Rotavator,1,114477,114477,0,0.0,114477.0,Bank Transfer,Delivered
S00146,2023-10-02,2023,10,Q4,Rabi Prep,C0261,Darbhanga,Farmer,Cultivator,1,74647,74647,5,3732.35,70914.65,Cash,Delivered
S00147,2024-11-18,2024,11,Q4,Rabi Prep,C0036,Madhubani,Cooperative,Zero Till Seed Drill,1,182835,182835,8,14626.8,168208.2,Cash,Delivered
S00148,2023-08-05,2023,8,Q3,Kharif Peak,C0110,Gopalganj,Dealer,Tawa (Plough),1,42296,42296,10,4229.6,38066.4,UPI,Delivered
S00149,2024-09-10,2024,9,Q3,Kharif Peak,C0069,Samastipur,Farmer,Threshing Machine,2,80993,161986,2,3239.72,158746.28,Bank Transfer,Delivered
S00150,2024-06-30,2024,6,Q2,Kharif Prep,C0060,Gopalganj,Farmer,Threshing Machine,1,75212,75212,0,0.0,75212.0,UPI,Delivered
S00151,2024-04-25,2024,4,Q2,Off-Season,C0313,Madhubani,Dealer,Tawa (Plough),2,28493,56986,0,0.0,56986.0,UPI,Delivered
S00152,2023-08-15,2023,8,Q3,Kharif Peak,C0334,Gopalganj,Farmer,Threshing Machine,1,56062,56062,8,4484.96,51577.04,UPI,Delivered
S00153,2023-06-06,2023,6,Q2,Kharif Prep,C0140,Darbhanga,Cooperative,Rotavator,1,100074,100074,5,5003.7,95070.3,UPI,Delivered
S00154,2024-12-02,2024,12,Q4,Rabi Peak,C0168,Samastipur,Farmer,Cultivator,2,67022,134044,2,2680.88,131363.12,UPI,Delivered
S00156,2023-03-02,2023,3,Q1,Off-Season,C0004,Gopalganj,Farmer,Zero Till Seed Drill,2,129742,259484,2,5189.68,254294.32,Bank Transfer,Delivered
S00157,2024-10-07,2024,10,Q4,Rabi Prep,C0280,Vaishali,Farmer,Cultivator,1,44897,44897,0,0.0,44897.0,UPI,Delivered
S00158,2024-11-13,2024,11,Q4,Rabi Prep,C0126,Gopalganj,Dealer,Tawa (Plough),1,33833,33833,0,0.0,33833.0,UPI,Delivered
S00159,2023-01-18,2023,1,Q1,Rabi Peak,C0285,Patna,Cooperative,Zero Till Seed Drill,1,156010,156010,0,0.0,156010.0,UPI,Delivered
S00160,2024-03-16,2024,3,Q1,Off-Season,C0275,Gopalganj,Farmer,Tawa (Plough),1,23874,23874,0,0.0,23874.0,Cash,Delivered
S00161,2024-06-23,2024,6,Q2,Kharif Prep,C0312,Samastipur,Farmer,Cultivator,1,58228,58228,0,0.0,58228.0,UPI,Delivered
S00163,2024-10-27,2024,10,Q4,Rabi Prep,C0148,Chapra (Saran),Farmer,Tawa (Plough),1,21063,21063,0,0.0,21063.0,UPI,Delivered
S00164,2024-12-20,2024,12,Q4,Rabi Peak,C0130,Darbhanga,Farmer,Rotavator,1,117758,117758,2,2355.16,115402.84,Cash,Pending
S00165,2023-04-08,2023,4,Q2,Off-Season,C0349,Chapra (Saran),Dealer,Tawa (Plough),1,19394,19394,8,1551.52,17842.48,Bank Transfer,Delivered
S00166,2023-10-05,2023,10,Q4,Rabi Prep,C0017,Chapra (Saran),Farmer,Rotavator,1,89872,89872,0,0.0,89872.0,UPI,Delivered
S00167,2023-07-03,2023,7,Q3,Kharif Prep,C0283,Sitamarhi,Farmer,Tawa (Plough),1,28305,28305,0,0.0,28305.0,Cash,Delivered
S00168,2024-02-12,2024,2,Q1,Off-Season,C0230,Bhagalpur,Cooperative,Tawa (Plough),1,27806,27806,0,0.0,27806.0,Bank Transfer,Delivered
S00169,2024-07-07,2024,7,Q3,Kharif Prep,C0345,Samastipur,Farmer,Cultivator,1,44171,44171,2,883.42,43287.58,Cash,Delivered
S00170,2023-12-21,2023,12,Q4,Rabi Peak,C0322,Gopalganj,Dealer,Rotavator,1,113645,113645,0,0.0,113645.0,UPI,Delivered
S00171,2024-09-01,2024,9,Q3,Kharif Peak,C0271,Gopalganj,Cooperative,Cultivator,1,56389,56389,0,0.0,56389.0,EMI/Finance,Delivered
S00172,2023-12-31,2023,12,Q4,Rabi Peak,C0017,Chapra (Saran),Farmer,Zero Till Seed Drill,1,169207,169207,2,3384.14,165822.86,Bank Transfer,Delivered
S00173,2024-09-25,2024,9,Q3,Kharif Peak,C0056,Gopalganj,Farmer,Cultivator,1,51151,51151,0,0.0,51151.0,Cash,Delivered
S00174,2024-10-11,2024,10,Q4,Rabi Prep,C0139,Gopalganj,Farmer,Rotavator,1,110534,110534,0,0.0,110534.0,Cash,Delivered
S00175,2024-01-04,2024,1,Q1,Rabi Peak,C0155,Vaishali,Farmer,Tawa (Plough),1,21349,21349,0,0.0,21349.0,UPI,Delivered
S00176,2024-02-22,2024,2,Q1,Off-Season,C0121,Vaishali,Farmer,Rotavator,1,90873,90873,0,0.0,90873.0,UPI,Delivered
S00177,2024-01-30,2024,1,Q1,Rabi Peak,C0126,Gopalganj,Dealer,Rotavator,1,112119,112119,0,0.0,112119.0,EMI/Finance,Delivered
